PCE - Programa de Controle da Esquistossomose - Brasil
População trabalhadaExamesPositivos% Positividade1 a  4 ovos5 a 16 ovos17 ou mais ovosA tratarTratadosASC - Ascaris lumbricoidesANC - AncilostomídeosTAE - Taenia spTT - Trichuris trichiuraEV - Enterobius vermicularisSS - Strongyloides stercoralisHN - Hymenolepis nanaOUT - OutrosContra indicaçãoRecusaAusênciaCaramujos capturadosBiomphalaria glabrata capturadBiomphalaria straminea capturBiomphalaria tenagophila captBiomphalaria glabrata positivBiomphalaria straminea positivBiomphalaria tenagophila posit por Unidade da Federação
Período:1996
"Unidade da Federação";"População_trabalhada";"Exames";"Positivos";"%_Positividade";"1_a__4_ovos";"5_a_16_ovos";"17_ou_mais_ovos";"A_tratar";"Tratados";"ASC_-_Ascaris_lumbricoides";"ANC_-_Ancilostomídeos";"TAE_-_Taenia_sp";"TT_-_Trichuris_trichiura";"EV_-_Enterobius_vermicularis";"SS_-_Strongyloides_stercoralis";"HN_-_Hymenolepis_nana";"OUT_-_Outros";"Contra_indicação";"Recusa";"Ausência";"Caramujos_capturados";"Biomphalaria_glabrata_capturad";"Biomphalaria_straminea_captur";"Biomphalaria_tenagophila_capt";"Biomphalaria_glabrata_positiv";"Biomphalaria_straminea_positiv";"Biomphalaria_tenagophila_posit"
"11 Rondônia";8;8;-;-;-;-;-;-;-;-;-;-;-;-;-;-;7;-;-;-;-;-;-;-;-;-;-
"15 Pará";27445;13883;340;2,45;291;40;9;340;336;3613;971;3;-;-;-;-;125;2;-;2;53;53;-;-;11;-;-
"21 Maranhão";4237;3959;331;8,36;235;80;16;331;316;2298;1260;-;-;-;-;-;259;9;-;6;-;-;-;-;-;-;-
"22 Piauí";7317;7317;1;0,01;1;-;-;1;1;335;69;15;-;-;-;-;128;-;-;-;-;-;-;-;-;-;-
"23 Ceará";26507;17239;202;1,17;162;34;6;202;188;2227;1291;102;-;-;-;-;31;11;-;3;-;-;-;-;-;-;-
"24 Rio Grande do Norte";32784;30874;1997;6,47;1763;196;38;1997;1866;7861;846;867;-;-;-;-;574;81;1;49;-;-;-;-;-;-;-
"25 Paraíba";51249;49465;2390;4,83;1633;537;220;3366;2842;14117;10802;43;-;-;-;-;1590;234;10;262;9764;-;-;-;-;-;-
"26 Pernambuco";2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"28 Sergipe";61536;51555;11050;21,43;5435;4321;1294;11908;9977;24398;3913;35;-;-;-;-;19764;972;18;926;-;-;-;-;-;-;-
"29 Bahia";11;10;2;20,00;1;1;-;2;2;6;-;-;4;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"31 Minas Gerais";145808;120155;9432;7,85;5766;2358;1308;11482;8537;12712;5165;533;75;1;-;-;609;540;1645;771;524;486;13;-;120;-;-
"32 Espírito Santo";1;-;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"33 Rio de Janeiro";10184;10085;169;1,68;-;-;-;169;160;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
"53 Distrito Federal";832;829;270;32,57;218;37;15;270;261;37;74;1;-;-;-;-;13;9;-;-;-;-;-;-;-;-;-
"Total";367921;305381;26184;8,57;15505;7604;2906;30068;24486;67604;24391;1599;79;1;-;-;23100;1858;1674;2019;10341;539;13;-;131;-;-
 Fonte: MS/SVS/GT PCE
 Nota: As informações são apresentadas somente para as Unidades da Federação endêmicas nos períodos em que foram realizados inquéritos pelo PCE.
