 Instalações sanitárias - Brasil
Moradores por Unidade da Federação e Instalações sanitárias
Período:1991
"Unidade da Federação";"Rede geral de esgoto ou pluvial";"Fossa séptica";"Fossa rudimendar";"Vala";"Outro escoadouro";"Não sabe o tipo de escoadouro";"Não tem instalação sanitária";"Total"
"11 Rondônia";2729;300178;516005;20490;6533;2442;276471;1124848
"12 Acre";12719;78616;155334;23046;11551;1046;132288;414600
"13 Amazonas";19718;532509;791350;249673;131636;7154;332873;2064913
"14 Roraima";7990;44851;92272;6277;1070;190;37942;190592
"15 Pará";60191;1267197;2356431;167882;207343;5599;822144;4886787
"16 Amapá";15328;24670;167359;37676;8488;114;32356;285991
"17 Tocantins";-;6894;461056;6854;5263;394;429735;910196
"21 Maranhão";336803;546067;1513440;92539;53303;4706;2364547;4911405
"22 Piauí";28653;546850;459431;12416;3355;5935;1516826;2573466
"23 Ceará";376327;847575;2288648;55990;58519;37376;2675810;6340245
"24 Rio Grande do Norte";156972;714528;880746;14135;28923;5095;604999;2405398
"25 Paraíba";379371;509033;953832;78463;151062;10470;1106228;3188459
"26 Pernambuco";1023128;644607;2776805;158663;499404;24509;1969394;7096510
"27 Alagoas";163982;181733;1169396;34949;53600;5736;887401;2496797
"28 Sergipe";239216;239041;549595;22144;10571;5961;418936;1485464
"29 Bahia";730736;2031591;2739888;409401;1016913;34386;4836234;11799149
"31 Minas Gerais";8386211;277976;3651527;332081;984981;12512;1985729;15631017
"32 Espírito Santo";1055839;269314;620069;158447;241026;5954;236215;2586864
"33 Rio de Janeiro";5449560;3677855;863919;1473271;941060;25572;289055;12720292
"35 São Paulo";23213621;2419409;3769499;924321;495810;40116;421291;31284067
"41 Paraná";1634467;1524714;4422819;195907;62781;16793;521668;8379149
"42 Santa Catarina";170934;2624234;1094510;252920;121601;17480;222424;4504103
"43 Rio Grande do Sul";876480;4395441;2676739;361381;144487;21874;590465;9066867
"50 Mato Grosso do Sul";134796;37121;1454509;11354;5168;1182;112293;1756423
"51 Mato Grosso";102830;380533;1108110;45072;9430;5915;336246;1988136
"52 Goiás";1024006;106590;2244043;41718;47451;3253;512455;3979516
"53 Distrito Federal";1171702;202579;175417;7856;832;219;27947;1586552
"Total";46774309;24431706;39952749;5194926;5302161;301983;23699972;145657806
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
