 Instalações sanitárias - Brasil
Moradores por Unidade da Federação e Instalações sanitárias
Período:2000
"Unidade da Federação";"Rede geral de esgoto ou pluvial";"Fossa séptica";"Fossa rudimendar";"Vala";"Rio, lago ou mar";"Outro escoadouro";"Não tem instalação sanitária";"Total"
"11 Rondônia";46431;231437;872206;31262;10871;18618;150007;1360832
"12 Acre";96891;61300;195892;42113;14709;17752;122972;551629
"13 Amazonas";494456;675217;863623;151778;144493;56933;390559;2777059
"14 Roraima";31547;161400;83152;2724;473;1189;36960;317445
"15 Pará";402037;1739539;2610556;325471;172888;147890;718579;6116960
"16 Amapá";27120;81299;228097;21499;70331;13722;29452;471520
"17 Tocantins";29974;186142;571985;16401;2354;26484;309475;1142815
"21 Maranhão";476561;822102;1760387;168612;34571;67267;2285091;5614591
"22 Piauí";106905;967344;463716;14222;4055;12726;1262623;2831591
"23 Ceará";1508973;901646;2899412;73010;40060;50292;1921353;7394746
"24 Rio Grande do Norte";435952;655245;1338487;19757;12672;12654;285646;2760413
"25 Paraíba";945078;339474;1268291;94489;47335;47023;684799;3426489
"26 Pernambuco";2544007;738809;2712015;228312;225749;99686;1313701;7862279
"27 Alagoas";393537;286885;1386613;60641;42547;23532;598209;2791964
"28 Sergipe";473350;261935;717989;28500;21715;13510;253193;1770192
"29 Bahia";4207546;992478;3682500;353994;228440;145127;3344372;12954457
"31 Minas Gerais";11787116;450712;3007649;293823;1064191;171400;987477;17762368
"32 Espírito Santo";1680469;305675;608306;171371;204185;25098;81899;3077003
"33 Rio de Janeiro";8691001;3192486;749169;954693;494096;87000;127540;14295985
"35 São Paulo";29546224;2510848;2490101;649827;1147955;212702;156147;36713804
"41 Paraná";3398825;1486328;4000927;194035;128584;59998;202972;9471669
"42 Santa Catarina";999484;2835387;1000128;238162;120294;38437;85169;5317061
"43 Rio Grande do Sul";2663182;4116349;2489119;406366;90265;100309;248528;10114118
"50 Mato Grosso do Sul";224460;134577;1598259;14791;9305;15864;49229;2046485
"51 Mato Grosso";375792;339714;1464006;28447;10629;16201;204726;2439515
"52 Goiás";1449137;270952;2892903;41075;32747;39179;226686;4952679
"53 Distrito Federal";1685645;132250;201348;617;924;1359;13081;2035224
"Total";74721700;24877530;42156836;4625992;4376438;1521952;16090445;168370893
 Fonte: IBGE - Censos Demográficos de 1991, 2000 e 2010
